item_name,flips,total_profit,total_spent,roi_percent,avg_profit_per_flip,last_flipped
Amulet of avarice,6,138933,8287664,1.6763831159178268,23155.5,08-14-2025
Bandos chestplate,1,138081,19881078,0.6945347732150138,138081,08-17-2025
Seers ring,10,137280,19429479,0.7065552298134191,13728,08-19-2025
Dinh's bulwark,1,137031,15438702,0.8875810932810283,137031,08-19-2025
Dark bow,5,136961,8613493,1.5900750137023387,27392.2,08-11-2025
Moonlight antler bolts,5,136155,2504901,5.435544159230245,27231,08-18-2025
Chromium ingot,11,135372,1040535,13.009845896582048,12306.545454545454,08-05-2025
Falador teleport,16,134633,8865748,1.518574631266307,8414.5625,08-19-2025
Maple longbow (u),12,134557,8853905,1.5197475012438015,11213.083333333334,08-19-2025
Sunfire fanatic armour set,1,132918,9098505,1.4608773639185777,132918,08-08-2025
Uncharged toxic trident (e),3,131697,20409533,0.6452719912797613,43899,08-20-2025
Cadantine potion (unf),4,131200,16032035,0.8183614868605265,32800,08-08-2025
Smouldering stone,3,122958,8226063,1.4947369112052753,40986,08-15-2025
Black chinchompa,1,121034,23892000,0.5065879792399129,121034,08-20-2025
Cadantine seed,5,120857,958286,12.611788130057205,24171.4,08-06-2025
Bottomless compost bucket,4,120500,9503463,1.2679588482640485,30125,08-16-2025
Sunfire fanatic cuirass,4,120335,10664220,1.1283994516242162,30083.75,08-15-2025
Elidinis' ward,5,120073,36069681,0.3328917713466886,24014.6,08-18-2025
Iron dart,10,118929,315928,37.64433668430782,11892.9,08-05-2025
Verac's plateskirt,9,116552,3373527,3.454900464706522,12950.222222222223,08-06-2025
Dragon dagger(p++),9,115661,3189500,3.6263050634895753,12851.222222222223,08-14-2025
Dragon javelin,3,115657,2480574,4.662509564318581,38552.333333333336,08-19-2025
Master wand,5,113738,12890813,0.8823182835714085,22747.6,08-20-2025
Onyx,3,113641,9452070,1.202286906465991,37880.333333333336,08-05-2025
Blood moon helm,7,111754,10198105,1.0958310391979686,15964.857142857143,08-13-2025
Granite maul,4,111459,18175814,0.6132270059541762,27864.75,08-09-2025
Mixed hide top,8,110841,2049079,5.409308279475804,13855.125,08-08-2025
Guthix d'hide body,11,109488,2064138,5.304296515058586,9953.454545454546,08-05-2025
Zul-andra teleport,3,108375,7276242,1.489436442603201,36125,08-20-2025
Blue moon spear,8,107460,2430031,4.4221658077613,13432.5,08-08-2025
Eclipse atlatl,7,107032,28388413,0.37702706382353957,15290.285714285714,08-19-2025
Swift blade,1,107007,5117800,2.090878893274454,107007,08-16-2025
Iron bar,4,106090,4919985,2.156307387116018,26522.5,08-18-2025
Ranging potion(4),4,105931,10679441,0.9919152135397349,26482.75,08-19-2025
Chugging barrel (disassembled),2,103096,12465944,0.8270212027264041,51548,08-18-2025
Necklace of anguish,1,102620,16554132,0.6199056525585274,102620,08-20-2025
Dragon boots,9,101678,25068844,0.40559508846917713,11297.555555555555,08-14-2025
Obsidian cape,5,101375,8028681,1.2626607035452024,20275,08-12-2025
Amylase crystal,3,101196,8874603,1.1402876275141547,33732,08-13-2025
Webweaver bow (u),2,101174,30364711,0.3331959918867662,50587,08-14-2025
Harralander,6,99578,4088307,2.435678142566104,16596.333333333332,08-19-2025
Sea turtle,7,98317,5769241,1.7041583112925944,14045.285714285714,08-12-2025
Obsidian platebody,3,97653,7986840,1.2226737983983653,32551,08-08-2025
Fenkenstrain's castle teleport,16,96924,2767243,3.502547481374061,6057.75,08-20-2025
Superantipoison(4),7,96864,2356814,4.109955219206946,13837.714285714286,08-14-2025
Abyssal dagger,3,96292,8905707,1.0812392547834777,32097.333333333332,08-18-2025
Salve graveyard teleport,6,95336,3383967,2.8172851567405948,15889.333333333334,08-20-2025
Swampbark legs,11,94239,748177,12.595816230651302,8567.181818181818,08-04-2025
Trailblazer reloaded blowpipe ornament kit,1,94220,3002431,3.138123740395699,94220,08-11-2025
Ring of endurance (uncharged),2,94022,18342204,0.5125992492505262,47011,08-13-2025
Elder chaos hood,2,93032,1446462,6.43169333172942,46516,08-03-2025
Toktz-ket-xil,4,91871,5788299,1.587184767061964,22967.75,08-14-2025
Supercompost,7,91155,137220,66.42982072584172,13022.142857142857,08-01-2025
Justiciar legguards,1,91123,7143859,1.2755430923258704,91123,08-16-2025
Rune knife,2,89586,1994030,4.492710741563568,44793,08-12-2025
Revenant cave teleport,8,89051,2983449,2.9848339958216146,11131.375,08-09-2025
Ahrim's robeskirt,4,88952,14286681,0.6226218671782481,22238,08-17-2025
Anglerfish,3,88853,9376841,0.9475792540366207,29617.666666666668,08-18-2025
Aranea boots,3,87683,32304325,0.27142805181659113,29227.666666666668,08-15-2025
Obsidian armour set,3,85934,7687428,1.1178511200365064,28644.666666666668,08-10-2025
Armadyl helmet,1,85241,9949365,0.8567481442283,85241,08-08-2025
